School 5 Year Cohort Rates,,Cohort Graduation Rates,,,,,,
SchoolID,School Name,2011,2012,2013,2014,2015,2016,2017
400086,URBAN PREP - ENGLEWOOD HS,58.5%,65.3%,61.0%,53.7%,57.7%,71.3%,78.7%
400102,URBAN PREP - WEST HS, , , ,61.0%,66.1%,64.1%,57.3%
609766,VAUGHN HS,65.3%,44.7%,43.2%,8.7%,25.7%,27.8%,20.6%
609737,VON STEUBEN HS,84.4%,85.4%,79.9%,88.2%,86.0%,88.8%,91.1%
609739,WASHINGTON HS,64.7%,62.3%,67.8%,66.5%,69.8%,72.2%,81.4%
609740,WELLS HS,59.1%,53.8%,54.3%,62.8%,56.0%,62.9%,75.7%
609693,WESTINGHOUSE HS, , , ,84.6%,90.5%,97.6%,93.3%
610380,WILLIAMS HS, ,81.7%,88.3%,89.3%,89.7%,83.5%,87.3%
610392,WORLD LANGUAGE HS,67.8%,59.8%,82.5%,69.8%,82.3%,77.9%,85.0%
609755,YOUNG HS,93.9%,91.1%,94.4%,93.3%,91.4%,96.2%,96.1%
400087,YOUNG WOMENS HS,70.8%,73.4%,65.3%,72.1%,86.6%,66.7%,67.6%
610303,AASTA HS,45.0%,38.1%, , , , , 
400008,ACT CHTR HS,69.5%,63.2%,74.5%,60.3%, , , 
400012,AMANDLA, , , , , , ,59.0%
400015,ASPIRA CHTR - RAMIREZ HS,89.1%,76.8%,68.8%,60.0%,68.8%,62.9%,61.1%
400018,AUSTIN BUS & ENTRP HS,65.6%,53.8%,60.9%,50.0%,63.5%,76.5%,71.0%
610501,AUSTIN POLY HS, ,63.1%,57.1%,60.3%,50.7%,60.9%,47.1%
610370,BEST PRACTICE HS,71.4%,63.2%,73.5%, , , , 
610307,BOWEN HS,53.1%,57.7%,64.2%,57.3%,64.3%, , 
610309,CHGO DISCOVERY HS,62.0%,67.0%,67.3%,65.8%,66.7%, , 
400093,CHGO TALENT CHTR HS, , , ,65.6%,52.4%,80.0%,70.2%
609675,CHICAGO AA HS,27.9%,27.0%,26.1%,34.8%,29.7%,32.3%, 
400108,CICS - HAWKINS HS, , , , ,54.2%,51.2%,55.7%
610401,CLEMENTE AA HS,25.0%,18.7%,14.9%,24.5%,31.8%,35.4%, 
610378,CRANE AA,29.6%,29.0%,31.3%,22.4%,33.6%,30.2%, 
609702,CRANE HS,47.7%,38.4%,39.8%,44.8%,32.5%,51.5%, 
609736,DYETT HS,33.7%,43.1%,37.4%,42.0%,46.4%,46.7%, 
610311,ENTREPRENEURSHP HS,42.0%,41.8%,50.0%,56.0%,47.1%, , 
610302,EXCEL HS,50.7%,56.1%, , , , , 
609706,FENGER AA HS,23.4%,23.4%,27.9%,30.9%,33.8%,32.5%, 
400042,FORD HS, , ,72.1%,66.9%,60.9%,67.8%, 
610324,GLOBAL VISIONS HS,46.6%,44.6%,50.8%,61.8%,46.2%, , 
609765,LAS CASAS HS,16.1%,18.5%,6.7%,31.3%, , , 
610502,MARINE MILITARY HS, ,73.5%,74.6%,65.7%,86.8%,85.4%,87.3%
610535,MASON HS, , , ,78.3%,68.2%,84.6%,72.4%
609743,PHILLIPS AA HS,20.8%,24.1%,19.6%,22.0%,22.0%,14.8%, 
610374,ROBESON AA HS,25.0%,13.3%,14.8%,20.1%,20.0%,29.7%, 
610297,SCHOOL OF LEADRSHP HS,36.6%,41.7%,44.4%,48.1%,51.1%, , 
610296,SCHOOL OF TECH HS,49.1%,47.8%,53.3%,52.6%,49.1%, , 
610310,SCHOOL OF THE ARTS HS,58.2%,46.9%,60.0%,65.9%,61.5%, , 
610377,SENN AA HS,19.8%,22.2%,25.0%,19.3%,28.6%, , 
400073,SHABAZZ - DUSABLE HS,65.5%,66.0%,67.5%,70.5%,65.5%,64.8%,68.7%
610375,TILDEN AA HS,25.9%,18.0%,25.2%,30.2%,39.0%,40.3%, 
610322,VINES HS,45.1%,32.8%, , , , , 
