,,Grd 9-12 Enrollment,Students Enrolled in AP Courses,,Students Scoring 3+ on AP Exams,
,,,,,,
SchoolID,Year,n,n,pct,n,pct
609768,2003,611,44,7.2,3,6.8
609768,2004,652,30,4.6,4,13.3
609768,2005,680,61,9.0,3,4.9
609768,2006,877,88,10.0,7,8.0
609768,2007,1017,110,10.8,3,2.7
609768,2008,1054,89,8.4,5,5.6
609768,2009,958,117,12.2,3,2.6
609768,2010,804,110,13.7,1,0.9
609768,2011,680,85,12.5,2,2.4
609768,2012,560,72,12.9,0,0.0
609768,2013,507,76,15.0,0,0.0
609978,2008,16,0,0.0,*,*
610029,2000,16,0,0.0,*,*
610148,2000,44,0,0.0,*,*
610148,2001,58,0,0.0,*,*
610148,2002,43,0,0.0,*,*
610148,2003,65,0,0.0,*,*
610167,2000,25,0,0.0,*,*
610244,2003,80,0,0.0,*,*
610244,2004,324,0,0.0,*,*
610244,2005,578,25,4.3,0,0.0
610244,2006,774,43,5.6,1,2.3
610244,2007,859,79,9.2,0,0.0
610244,2008,809,77,9.5,3,3.9
610244,2009,849,47,5.5,0,0.0
610244,2010,882,103,11.7,1,1.0
610244,2011,819,216,26.4,8,3.7
610244,2012,658,156,23.7,2,1.3
610244,2013,542,87,16.1,1,1.1
610245,2000,63,0,0.0,*,*
610245,2001,115,0,0.0,*,*
610245,2002,82,0,0.0,*,*
610245,2004,140,0,0.0,*,*
610245,2005,260,0,0.0,*,*
610245,2006,394,0,0.0,*,*
610245,2007,514,15,2.9,0,0.0
610245,2008,550,51,9.3,0,0.0
610245,2009,546,63,11.5,0,0.0
610245,2010,498,104,20.9,0,0.0
610245,2011,383,58,15.1,0,0.0
610245,2012,354,66,18.6,4,6.1
610245,2013,316,68,21.5,8,11.8
610297,2004,251,0,0.0,*,*
610297,2005,384,0,0.0,*,*
610297,2006,386,0,0.0,*,*
610297,2007,396,19,4.8,0,0.0
610297,2008,436,10,2.3,0,0.0
610297,2009,360,39,10.8,0,0.0
610297,2010,334,45,13.5,0,0.0
610297,2011,272,94,34.6,1,1.1
610297,2012,731,91,12.4,0,0.0
610297,2013,411,72,17.5,0,0.0
610304,2003,232,0,0.0,*,*
610304,2004,262,0,0.0,*,*
610304,2005,344,0,0.0,*,*
610304,2006,189,11,5.8,1,9.1
610304,2007,278,28,10.1,0,0.0
610304,2008,310,70,22.6,9,12.9
610304,2009,381,106,27.8,22,20.8
610304,2010,404,119,29.5,33,27.7
610304,2011,432,100,23.1,30,30.0
610304,2012,462,141,30.5,85,60.3
610304,2013,429,84,19.6,50,59.5
610323,2005,113,0,0.0,*,*
610323,2006,253,36,14.2,0,0.0
610323,2007,344,56,16.3,0,0.0
610323,2008,367,38,10.4,0,0.0
610323,2009,314,74,23.6,0,0.0
610323,2010,228,77,33.8,0,0.0
610323,2011,169,129,76.3,0,0.0
610323,2012,700,200,28.6,0,0.0
610323,2013,538,79,14.7,3,3.8
610334,2005,127,0,0.0,*,*
610334,2006,262,0,0.0,*,*
610334,2007,411,57,13.9,1,1.8
610334,2008,540,100,18.5,4,4.0
610334,2009,532,100,18.8,8,8.0
610334,2010,561,127,22.6,3,2.4
610334,2011,558,108,19.4,7,6.5
610334,2012,536,68,12.7,1,1.5
610334,2013,524,92,17.6,2,2.2
610340,2005,123,0,0.0,*,*
610340,2006,251,0,0.0,*,*
610340,2007,377,73,19.4,0,0.0
610340,2008,498,165,33.1,18,10.9
610340,2009,494,165,33.4,20,12.1
610340,2010,497,119,23.9,32,26.9
610340,2011,501,135,26.9,36,26.7
610340,2012,503,116,23.1,33,28.4
610340,2013,517,137,26.5,37,27.0
610357,2004,33,0,0.0,*,*
610357,2005,65,0,0.0,*,*
610357,2006,93,27,29.0,1,3.7
610357,2007,101,52,51.5,29,55.8
610357,2008,95,58,61.1,13,22.4
610357,2009,91,47,51.6,0,0.0
610357,2010,159,46,28.9,8,17.4
610357,2011,185,43,23.2,13,30.2
610357,2012,195,48,24.6,13,27.1
610357,2013,193,71,36.8,22,31.0
610374,2004,182,0,0.0,*,*
610374,2005,143,0,0.0,*,*
610374,2006,254,0,0.0,*,*
610374,2007,231,0,0.0,*,*
610374,2008,182,0,0.0,*,*
610374,2009,201,0,0.0,*,*
610374,2010,210,0,0.0,*,*
610374,2011,168,0,0.0,*,*
610374,2012,111,0,0.0,*,*
610374,2013,45,0,0.0,*,*
610375,2004,56,0,0.0,*,*
610375,2005,154,0,0.0,*,*
610375,2006,304,0,0.0,*,*
610375,2007,326,0,0.0,*,*
610375,2008,243,0,0.0,*,*
610375,2009,171,0,0.0,*,*
610375,2010,227,0,0.0,*,*
610375,2011,167,0,0.0,*,*
610375,2012,128,0,0.0,*,*
610375,2013,39,0,0.0,*,*
610378,2004,164,0,0.0,*,*
610378,2005,142,0,0.0,*,*
610378,2006,329,0,0.0,*,*
610378,2007,413,0,0.0,*,*
610378,2008,371,0,0.0,*,*
610378,2009,342,0,0.0,*,*
610378,2010,257,0,0.0,*,*
610378,2011,244,0,0.0,*,*
610378,2012,162,0,0.0,*,*
610378,2013,54,0,0.0,*,*
610380,2008,73,0,0.0,*,*
610380,2009,155,0,0.0,*,*
610380,2010,209,30,14.4,1,3.3
610380,2011,276,58,21.0,4,6.9
610380,2012,307,67,21.8,7,10.4
610380,2013,304,34,11.2,3,8.8
610381,2006,125,0,0.0,*,*
610381,2007,247,34,13.8,0,0.0
610381,2008,358,58,16.2,1,1.7
610381,2009,523,103,19.7,0,0.0
610381,2010,549,65,11.8,1,1.5
610381,2011,551,87,15.8,3,3.4
610381,2012,552,144,26.1,0,0.0
610381,2013,529,95,18.0,0,0.0
610383,2006,100,0,0.0,*,*
